dia;data;horario;nome;descricao
Quarta-feira;4-mar-26;19:30;Culto de Ensino;Estudo bíblico e doutrinário
Sexta-feira;6-mar-26;19:30;Culto de Libertação;Noite de oração e intercessão
Domingo;8-mar-26;09:00;Escola Bíblica Dominical;Estudo da Palavra de Deus
Domingo;8-mar-26;18:00;Culto de Santa Ceia;Repartiremos o pão para recordarmos do sacrificio do cordeiro
Segunda;9-mar-25;19:00;Campanha Circulo de oração;Participaremos de uma campanha com oração, louvor e palavra mas principalmente a presença de Deus!
